prodcode,dmdcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
77994,36917711000001104,7,86533021,Hydventia 10mg tablets (OcXia),Hydrocortisone,10mg,Tablet,Oral,06030200,Glucocorticoid Therapy,September 2019
78839,33037911000001104,1,70319021,Deflazacort 22.75mg/1ml oral suspension,Deflazacort,22.75mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,November 2019
186,325365005,1275,62323020,Dexamethasone 500micrograms/5ml oral solution,Dexamethasone,100microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Februar 2009
1280,325356003,300698,62322020,Dexamethasone 2mg tablets,Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
1971,3694811000001103,24515,54445020,Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
2044,100105001000027104,515,3256007,PREDNISONE 2.5 MG TAB,,,,,00000000,Unknown,Februar 2009
2130,325412002,2695,64573020,Methylprednisolone 4mg tablets,Methylprednisolone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
3557,418349006,4569,59228020,Prednisone 1mg tablets,Prednisone,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
4779,325355004,101671,62321020,Dexamethasone 500microgram tablets,Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
4943,37084211000001104,25508,75320020,Dexamethasone 2mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Februar 2009
5157,196715001000027104,869,75321020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,2mg/5ml,Oral Solution,Oral,06030200,Glucocorticoid Therapy,Februar 2009
7286,325344004,39067,75121020,Betamethasone 500microgram soluble tablets sugar free,Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
9375,325476008,1733,83656020,Deflazacort 1mg tablets,Deflazacort,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
9994,3286911000001103,565,57978020,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
10683,4051211000001101,1917,64589020,Medrone 2mg tablets (Pfizer Ltd),Methylprednisolone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
10684,325411009,1675,64572020,Methylprednisolone 2mg tablets,Methylprednisolone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
10864,325345003,9736,64150020,Betamethasone 500microgram tablets,Betamethasone,500microgram,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
11149,3804311000001103,3651,48403020,Betnelan 500microgram tablets (Focus Pharmaceuticals Ltd),Betamethasone,500microgram,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
15555,4051611000001104,2330,64590020,Medrone 4mg tablets (Pfizer Ltd),Methylprednisolone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
15617,53565001000027104,1406,54732020,Ledercort 4mg Tablet (Wyeth Pharmaceuticals),Triamcinolone Acetonide,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
17101,116745001000027104,15,3817007,DEXAMETHASONE 750 MCG TAB,,,,,00000000,Unknown,Februar 2009
19908,144845001000027104,211,67163020,Triamcinolone 2mg Tablet,Triamcinolone Acetonide,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
21218,3851611000001100,421,78819020,Dexsol 2mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Februar 2009
21465,180635001000027104,7,6354007,BETAMETHASONE .1 MG TAB,,,,,00000000,Unknown,Februar 2009
21903,41195001000027104,61,53177020,Oradexon-organon 2mg Tablet (Organon Laboratories Ltd),Dexamethasone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
22555,3850711000001101,420,83662020,Calcort 1mg tablets (Shire Pharmaceuticals Ltd),Deflazacort,1mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
23111,144855001000027104,348,67164020,Triamcinolone 4mg Tablet,Triamcinolone Acetonide,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
23788,87135001000027104,59,2796007,CORTISONE ACETATE 2.5 MG TAB,,,,,00000000,Unknown,Februar 2009
24014,53555001000027104,826,54731020,Ledercort 2mg Tablet (Wyeth Pharmaceuticals),Triamcinolone Acetonide,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
28615,70935001000027104,1,2259007,METHYLPREDNISOLONE L/A 4 MG CAP,,,,,00000000,Unknown,Februar 2009
34801,61165001000027104,2,55666020,Dexamethasone 0.5mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),Dexamethasone,100microgram/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,Februar 2009
34880,3291411000001104,255,53490020,Dexamethasone 2mg tablets (Aspen Pharma Trading Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
34915,3287811000001105,35,53489020,Dexamethasone 500microgram tablets (Organon Laboratories Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Februar 2009
36055,191525001000027104,2,74310020,Dexamethasone 2mg Tablet (Hillcross Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Februar 2009
38022,8581111000001102,1011,94691020,Hydrocortisone 10mg/5ml oral suspension,Hydrocortisone,2mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Februar 2009
44380,17872811000001100,189,98889020,Prednisone 1mg modified-release tablets,Prednisone,1mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2011
44803,17873311000001104,25,98897020,Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,2mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,MÃ¤rz 2011
45234,8792611000001104,15,91780020,Dexamethasone 100microgram capsules,Dexamethasone,100microgram,Capsule,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2011
46711,17873211000001108,168,98891020,Prednisone 2mg modified-release tablets,Prednisone,2mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2012
50225,19280911000001104,14,6564020,Betnesol 500microgram soluble tablets (Waymade Healthcare Plc),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51722,8581611000001105,1593,20239020,Hydrocortisone 5mg/5ml oral suspension,Hydrocortisone,1mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51824,20093511000001108,67,40205020,Hydrocortisone 5mg/5ml oral suspension sugar free,Hydrocortisone,1mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51849,12540711000001108,7,32190020,Hydrocortisone 1mg/5ml oral suspension,Hydrocortisone,200microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51871,15436911000001100,4,36273020,Hydrocortisone 2mg capsules,Hydrocortisone,2mg,Capsule,Oral,06030200,Glucocorticoid Therapy,Januar 2013
51872,15533611000001108,10,36388020,Hydrocortisone 2.5mg capsules,Hydrocortisone,2.5mg,Capsule,Oral,06030200,Glucocorticoid Therapy,Januar 2013
52053,12554911000001104,2,32204020,Hydrocortisone 3mg/5ml oral suspension,Hydrocortisone,600microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2013
52396,8429111000001103,6,19597020,Dexamethasone 1mg/5ml oral solution,Dexamethasone,200microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2013
54432,17872911000001104,10,98895020,Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd),Prednisone,1mg,Modified-release tablet,Oral,06030200,Glucocorticoid Therapy,April 2013
54793,11716111000001102,8,29799020,Dexamethasone 2mg/5ml oral suspension,Dexamethasone,400microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,April 2013
55401,3286511000001105,1,6568020,Dexamethasone 500microgram tablets (A A H Pharmaceuticals Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Mai 2013
58474,21926211000001104,1,47495020,Dexamethasone 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2014
60064,24350911000001104,472,23637021,Dexamethasone 10mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,2mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2014
60120,3292011000001100,3,6571020,Dexamethasone 2mg tablets (Alliance Healthcare (Distribution) Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2014
62909,3290311000001101,1,6570020,Dexamethasone 2mg tablets (A A H Pharmaceuticals Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,April 2015
63138,28422811000001104,214,44830021,Hydrocortisone 5mg/5ml oral solution,Hydrocortisone,1mg/1ml,Oral solution,Oral,06030200,Glucocorticoid Therapy,Mai 2015
64050,19792911000001108,1,766021,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2015
64059,8581311000001100,1,20233020,Hydrocortisone 2.5mg/5ml oral suspension,Hydrocortisone,500microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,August 2015
64235,21232511000001108,2,44411020,Betamethasone 500microgram soluble tablets sugar free (Alliance Healthcare (Distribution) Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,September 2015
64747,11716011000001104,78,29797020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2015
64766,28881311000001104,19,46623021,Dexamethasone 20mg/5ml oral solution sugar free,Dexamethasone sodium phosphate,4mg/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2015
66200,32071811000001108,2206,62211021,Dexamethasone 2mg soluble tablets sugar free,Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Mai 2016
66524,32071911000001104,628,62213021,Dexamethasone 4mg soluble tablets sugar free,Dexamethasone sodium phosphate,4mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Juni 2016
68103,32400911000001104,1,65918021,Dexamethasone 2mg soluble tablets sugar free (A A H Pharmaceuticals Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,November 2016
68182,15628711000001100,2,6573020,Dexamethasone 2mg tablets (Teva UK Ltd),Dexamethasone,2mg,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,November 2016
68306,21142211000001108,1,44409020,Betamethasone 500microgram soluble tablets sugar free (RPH Pharmaceuticals AB),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2016
68489,376688006,2115,70674021,Dexamethasone 4mg tablets,Dexamethasone,4mg,Tablet,Oral,06030200,Glucocorticoid Therapy,Dezember 2016
69572,11716511000001106,1,29807020,Dexamethasone 4mg/5ml oral suspension,Dexamethasone,800microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Mai 2017
70611,11716211000001108,1,29801020,Dexamethasone 3mg/5ml oral solution,Dexamethasone,600microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2017
71404,10528411000001108,2,6576020,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2018
71620,12563811000001104,4,32224020,Hydrocortisone 7mg/5ml oral suspension,Hydrocortisone,1.4mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Februar 2018
71926,11714611000001100,2,29769020,Dexamethasone 1.25mg/5ml oral suspension,Dexamethasone,250microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,April 2018
72537,11716411000001108,2,29805020,Dexamethasone 4mg/5ml oral solution,Dexamethasone,800microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Juli 2018
72848,34743111000001108,19,78408021,Glensoludex 2mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,2mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,August 2018
74156,8452111000001106,3,19683020,Dexamethasone 2.5mg/5ml oral solution,Dexamethasone,500microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Dezember 2018
74157,8452211000001100,2,19685020,Dexamethasone 2.5mg/5ml oral suspension,Dexamethasone,500microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Dezember 2018
74436,8452311000001108,1,19687020,Dexamethasone 500micrograms/5ml oral suspension,Dexamethasone,100microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Januar 2019
74497,12563611000001104,2,32220020,Hydrocortisone 7.5mg/5ml oral suspension,Hydrocortisone,1.5mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Januar 2019
74502,35700011000001100,49,82216021,Alkindi 1mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,1mg,Granules,Oral,06030200,Glucocorticoid Therapy,Januar 2019
75019,35775611000001108,11,82215021,Hydrocortisone 1mg granules in capsules for opening,Hydrocortisone,1mg,Granules,Oral,06030200,Glucocorticoid Therapy,Februar 2019
75065,35700311000001104,41,82218021,Alkindi 2mg granules in capsules for opening (Diurnal Ltd),Hydrocortisone,2mg,Granules,Oral,06030200,Glucocorticoid Therapy,Februar 2019
75729,20092311000001108,15,40206020,Hydrocortisone 5mg/5ml oral suspension sugar free (Special Order),Hydrocortisone,1mg/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,April 2019
76923,13005411000001106,331,94900020,Methylprednisolone 1mg/5ml oral suspension,Methylprednisolone,200microgram/1ml,Oral suspension,Oral,06030200,Glucocorticoid Therapy,Juli 2019
77483,23590911000001104,9,20227021,Dexamethasone 2mg/5ml oral solution sugar free (Waymade Healthcare Plc),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2019
77849,8429011000001104,1,19595020,Dexamethasone 1mg/5ml oral suspension,Dexamethasone,200microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2019
78214,11716311000001100,1,29803020,Dexamethasone 3mg/5ml oral suspension,Dexamethasone,600microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,Oktober 2019
78307,19792911000001108,1,38989020,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,00000000,Unknown,November 2019
78335,11714811000001102,1,29773020,Dexamethasone 1.5mg/5ml oral suspension,Dexamethasone,300microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,November 2019
79684,34743411000001104,1,78409021,Glensoludex 4mg soluble tablets (Glenmark Pharmaceuticals Europe Ltd),Dexamethasone sodium phosphate,4mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,Januar 2020
38054,245935001000027104,85,92567020,Hydrocortisone Tablet,Hydrocortisone,NA,Tablet,Oral,06030100/06030200,Replacement Corticosteroids For Endocrine Conditions/Glucocorticoid Therapy,February 2009
53207,251655001000027104,0,95127020,Dexamethasone tablets,Dexamethasone,NA,,,06030200,Glucocorticoid Therapy,January 2013
